Titre,Prix_Actuel,Ancien_Prix,Discount,Rating,Image_URL,Source,Date_Collecte
"Hp PC Portable Probook 650 Core i3 G3- 7ème Génération- 256Gb SSD- 8GB RAM -Ecran 15.6""- GARANTIE 6 MOIS -remis a neuf - AZERTY","1,999.00 Dhs","3,299.00 Dhs",39%,5 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/108176/1.jpg?9241,Jumia,2026-01-28 17:12:02
Pc Portable HP EliteBook 840 G8 Tactile I5-1145g7 11éme Génération RAM 16Go DDR4 256Gb SSD QWERTY - REMIS A NEUF,"3,890.00 Dhs","4,990.00 Dhs",22%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/250476/1.jpg?3449,Jumia,2026-01-28 17:12:02
Lenovo PC portable Thinkpad-L440 Core i5 RAM 8GB 500 HDD 6ème Génération Remis à Neuf,"1,789.00 Dhs","3,299.00 Dhs",46%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/426956/1.jpg?3307,Jumia,2026-01-28 17:12:02
"Support pliable pour ordinateur Portable Mac et PC, en Aluminium, Support Antidérapant",42.00 Dhs,185.00 Dhs,77%,4.1 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/872246/1.jpg?0783,Jumia,2026-01-28 17:12:02
Hp PC Portable ELITEBOOK 840 G8 - INTEL CORE I7-11ème GÉNÉRATION - 32GB - 512GB SSD - FHD - CARTABLE ET SOURIS GRATUIT - GARANTIE DE SIX MOIS - Remis à neuf,"6,399.00 Dhs","7,699.00 Dhs",17%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/876276/1.jpg?5803,Jumia,2026-01-28 17:12:02
Acer Pc Portable Aspire Go 15 - i7-13620H / 8Go / 512Go Windows 11 + souris + sacoche (NX.J4GEF.00C),"7,990.00 Dhs","8,700.00 Dhs",8%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/280376/1.jpg?3709,Jumia,2026-01-28 17:12:02
"Hp PC Portable Probook 650 Core i5 G2- 5ème Génération- 256Gb SSD- 8GB RAM -Ecran 15.6""- GARANTIE 6 MOIS -remis a neuf - AZERTY","2,099.00 Dhs","3,499.00 Dhs",40%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/697376/1.jpg?7101,Jumia,2026-01-28 17:12:02
Hp PC portable ELITEBOOK X360 G7 I5-10ème -8GB- 256GB SSD -TACTILE -CARTABLE ET SOURIS GRATUIT-REMIS À NEUF,"3,789.00 Dhs","7,999.00 Dhs",53%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/536956/1.jpg?0120,Jumia,2026-01-28 17:12:02
"Hp PC Portable Probook 650 Core i5 G2 - 5ème Génération - 256Gb SSD - 8GB RAM - Écran 15.6"" - GARANTIE 6 MOIS - remis à neuf - AZERTY","2,189.00 Dhs","3,599.00 Dhs",39%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/697376/1.jpg?6531,Jumia,2026-01-28 17:12:02
"DELL Pc Portable Latitude 7420 Intel Core I5-1145g7 11éme Génération RAM 16Go DDR4 256Gb SSD Ecran IPS 14""QWERTY - REMIS A NEUF","3,690.00 Dhs","3,990.00 Dhs",8%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/566376/1.jpg?3857,Jumia,2026-01-28 17:12:02
Cartable PC Sac a dos pour ordinateur portable noir,125.00 Dhs,249.00 Dhs,50%,4.2 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/119176/1.jpg?9935,Jumia,2026-01-28 17:12:02
Acer Pc Portable Aspire Go 15 - i5-13420 / 8Go / 512Go Windows 11 + sacoche + souris(NX.J4GEF.009),"6,299.00 Dhs","6,790.00 Dhs",7%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/180376/1.jpg?3089,Jumia,2026-01-28 17:12:02
"Hp PC Portable Probook 650 Core i5 G2- 5ème Génération- 256Gb SSD- 8GB RAM -Ecran 15.6""- GARANTIE 6 MOIS -remis a neuf - AZERTY","2,099.00 Dhs","3,299.00 Dhs",36%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/697376/1.jpg?0061,Jumia,2026-01-28 17:12:02
Acer Pc Portable Aspire Go 15 - i5-13420 / 16Go / 512Go Windows 11 (NX.J4GEF.00A),"6,490.00 Dhs","7,200.00 Dhs",10%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/180376/1.jpg?1263,Jumia,2026-01-28 17:12:02
XIAOMI Monitor A22I (Black),699.00 Dhs,899.00 Dhs,22%,4.6 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/034646/1.jpg?2339,Jumia,2026-01-28 17:12:03
DELL Pc Portable Latitude 5410 Core i5 10ème RAM 16GB 256SSD ÉCRAN 14” Remis à Neuf,"3,200.00 Dhs","3,600.00 Dhs",11%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/808066/1.jpg?6445,Jumia,2026-01-28 17:12:03
"Support pliable pour ordinateur Portable Mac et PC, en Aluminium, Support Antidérapant",47.00 Dhs,304.00 Dhs,85%,4.3 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/466436/1.jpg?4183,Jumia,2026-01-28 17:12:03
"Pc Portable ThinkPad L13 Core i5-10310U 1,7 Ghz Turbo 4.4Ghz 8G DDR4 256G SSD Ecran 13.3 IPS FULLHD Clavier Azerty Rétro -Remis à neuf","2,990.00 Dhs","3,390.00 Dhs",12%,5 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/609656/1.jpg?4592,Jumia,2026-01-28 17:12:03
Logitech Souris filaire USB 1000 PPP – Grise,39.00 Dhs,62.00 Dhs,37%,4.6 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/859256/1.jpg?6572,Jumia,2026-01-28 17:12:03
Asus ORDINATEUR PORTABLE,"4,500.00 Dhs","4,900.00 Dhs",8%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/118756/1.jpg?6117,Jumia,2026-01-28 17:12:03
Hp Pc Portable ProBook x360 435 G8 Ryzen 7 Pro 5850U RAM 16Go DDR4 512Gb SSD QWERTY Tactile - Remis a neuf,"4,280.00 Dhs","7,000.00 Dhs",39%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/748376/1.jpg?9594,Jumia,2026-01-28 17:12:03
Asus ORDINATEUR PORTABLE,"3,490.00 Dhs","3,900.00 Dhs",11%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/018756/1.jpg?5245,Jumia,2026-01-28 17:12:03
Hp Ordinateur portable 15 N100 4GB 256SSD W11H GRAY,"3,990.00 Dhs","4,800.00 Dhs",17%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/442756/1.jpg?1445,Jumia,2026-01-28 17:12:03
"DELL Ordinateur portable Latitude E7270 - 12,5 pouces - Processeur Intel Core i5 de 6e génération - 8 Go de RAM - SSD de 256 Go - (Occasion en bon état)","1,749.00 Dhs","2,299.00 Dhs",24%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/320576/1.jpg?6623,Jumia,2026-01-28 17:12:03
Asus PC Portable 90NB10J2-M00N90,"6,400.00 Dhs",,,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/712376/1.jpg?2536,Jumia,2026-01-28 17:12:03
"Hp PC Portable Probook 650 Core i3 G3- 7ème Génération- 500Go HDD- 8GB RAM -Ecran 15.6""- GARANTIE 6 MOIS -remis a neuf - AZERTY","1,959.00 Dhs","2,999.00 Dhs",35%,3.7 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/008176/1.jpg?4419,Jumia,2026-01-28 17:12:03
"Tapis souris XXL Large 900 × 400, tapis gamer XXL pour bureau et ordinateur portable",69.00 Dhs,199.00 Dhs,65%,4.9 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/255566/1.jpg?5113,Jumia,2026-01-28 17:12:03
DELL PC PORTABLE Latitude 7480 -INTEL COR i5- RAM 8Go - 256Go SSD-SOURIS WIFI GRATUIT -GARANTIE 6 MOIS- REMIS A NEUF/,"2,199.00 Dhs","3,999.00 Dhs",45%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/694576/1.jpg?1743,Jumia,2026-01-28 17:12:03
Lenovo Ordinateur portable ThinkPad E14 Gen 5 I7 13 EME GEN / 16 GB / 512 SSD / NEUF SANS EMBALLAGE,"8,500.00 Dhs",,,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/219366/1.jpg?0569,Jumia,2026-01-28 17:12:03
"Hp ProBook 640 - Intel Core i3 (6ème Gen) - 8Go RAM - 320Go HDD - 14"" - AZERTY - (Remis à Neuf)","1,899.00 Dhs","4,499.00 Dhs",58%,3.5 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/986316/1.jpg?1124,Jumia,2026-01-28 17:12:03
Lenovo PC PORTABLE LENOVO THINKPAD T540P-I5-8G-256Go SSD-FULL HD-REMIS A NEUF,"2,189.00 Dhs","3,099.00 Dhs",29%,5 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/775685/1.jpg?0365,Jumia,2026-01-28 17:12:03
"Hp EliteBook X360 G3 - Intel Core i5 - 8Go RAM - 512Go SSD - 13.3"" Tactile - (Remis à Neuf)","3,489.00 Dhs","9,999.00 Dhs",65%,4.4 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/824916/1.jpg?4684,Jumia,2026-01-28 17:12:03
Hp PC Portable ELITEBOOK 840 G7 -10810U- 10EME GENERATION -INTEL CORE I5-10éme -8GB- 256GB SSD- FHD - À NEUF/,"3,589.00 Dhs","5,299.00 Dhs",32%,5 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/151166/1.jpg?2019,Jumia,2026-01-28 17:12:04
Hp PC Portable ELITEBOOK X360 G3 I5-8éme -16GB- 512GB SSD - TACTILE - REMIS À NEUF,"3,889.00 Dhs","6,999.00 Dhs",44%,5 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/591536/1.jpg?2246,Jumia,2026-01-28 17:12:04
"DELL PC GAMER Optiplex 3020 MT Intel Core i5- 4th Gen - RAM 16Go, 500Go HDD, 256Go SSD, RADEON R5 430 2Go (Remis à Neuf)","1,399.00 Dhs","1,950.00 Dhs",28%,3.5 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/937376/1.jpg?3929,Jumia,2026-01-28 17:12:04
"Hp Ordinateur portable ProBook 450 G10 Intel® Core™ i5-1335U 8 Go 256 Go SSD 15,6 pouces FHD - AZERTY","8,100.00 Dhs","8,300.00 Dhs",2%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/139956/1.jpg?7065,Jumia,2026-01-28 17:12:04
"Hp PC Portable EliteBook X360 G2 - 14"" - Intel Core i5 7ème Génération - 8GB RAM + 256GB SSD - Windows - Tactile - Remis à neuf","3,599.00 Dhs","8,899.00 Dhs",60%,3 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/153575/1.jpg?2179,Jumia,2026-01-28 17:12:04
Hp Ordinateur portable Pavilion x360 2-en-1 14-ek1001nk i5-1335U 8 Go 512SSD Windows 11,"9,200.00 Dhs",,,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/475176/1.jpg?3743,Jumia,2026-01-28 17:12:04
"Jedel Haut Parleur Gamer RGB 6W , Baffes Haut-Parleurs Gaming USB Pour PC Portable Ordinateur",75.00 Dhs,120.00 Dhs,38%,4.2 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/892266/1.jpg?3298,Jumia,2026-01-28 17:12:04
Hp Ordinateur Portable 250 G9 – i3 (778N7ES),"4,610.00 Dhs","5,500.00 Dhs",16%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/127966/1.jpg?5745,Jumia,2026-01-28 17:12:04
"Hp PC Portable HP Probook 640 Core i5 4eme 320Gb 8GB RAM 14""- remis a neuf","1,989.00 Dhs","2,999.00 Dhs",34%,4 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/673026/1.jpg?5488,Jumia,2026-01-28 17:12:12
Lenovo Ordinateur portable-i5 1245u-16GB-256G SSD-Win10Pro-Azerty-Garantie 24 Mois,"13,960.00 Dhs","15,000.00 Dhs",7%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/592056/1.jpg?6025,Jumia,2026-01-28 17:12:12
Lenovo PC PORTABLE THINKPAD L570P-I5-6TH GENERATION-8G-256Go SSD-AZERTY-REMIS A NEUF,"1,989.00 Dhs","4,599.00 Dhs",57%,4 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/476846/1.jpg?8806,Jumia,2026-01-28 17:12:12
"Pc Portable HP EliteBook 830 G7 I5-10310U 10ème Génération RAM 16Go DDR4 256Gb SSD Ecran 13.3""Tactile -QWERTZ Germany - REMIS A NEUF","3,590.00 Dhs","4,990.00 Dhs",28%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/776966/1.jpg?5506,Jumia,2026-01-28 17:12:12
Hp Pc Portable ProBook x360 435 G8 Ryzen 7 Pro 5850U RAM 16Go DDR4 512Gb SSD QWERTY Tactile - REMIS A NEUF,"4,490.00 Dhs","4,990.00 Dhs",10%,5 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/896966/1.jpg?0744,Jumia,2026-01-28 17:12:12
Hp PC Portable ELITEBOOK X360 G2 I5-7éme -16GB- 256GB SSD - TACTILE -REMIS À NEUF/,"3,588.00 Dhs","5,999.00 Dhs",40%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/307416/1.jpg?5344,Jumia,2026-01-28 17:12:13
Souris Optique Sans fil Bluetooth et USB wirless 2.4Ghz 1600 dpi haute résolution pour ordinateur bureau et portable + Pile inclus,65.00 Dhs,120.00 Dhs,46%,4.4 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/81/067366/1.jpg?1972,Jumia,2026-01-28 17:12:13
"Hp PC Portable Probook 650 G3 - Core i3 - 7eme GÉNÉRATION - 320Gb HDD- 4GB RAM- AZERTY-ECRAN 15.6""-AVEC CARTABLE ET SOURIS GRATUIT -GARANTIE DE SIX MOIS -remis a neuf","1,989.00 Dhs","2,999.00 Dhs",34%,1 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/497176/1.jpg?5654,Jumia,2026-01-28 17:12:13
"Hp PC Portable Probook 640 Core intel i5-500Go-RAM 8GB 14""- remis a neuf","1,989.00 Dhs","2,799.00 Dhs",29%,3 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/504926/1.jpg?2483,Jumia,2026-01-28 17:12:13
Hp PC Portable ELITEBOOK X360 G3 I7-8éme -16GB- 256GB SSD-TACTILE-AZERTY-REMIS À NEUF,"4,899.00 Dhs","6,999.00 Dhs",30%,5 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/991746/1.jpg?3229,Jumia,2026-01-28 17:12:13
"Mini aspirateur de voiture automatique et souffleur d'air sans fil pour voiture, Aspirateur Trois En Un",114.00 Dhs,139.99 Dhs,19%,4 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/274846/1.jpg?7043,Jumia,2026-01-28 17:12:13
Hp PC Portable ELITEBOOK X360 G2 I5-7éme -8GB- 256GB SSD - TACTILE -REMIS À NEUF/,"3,399.00 Dhs","5,999.00 Dhs",43%,5 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/307416/1.jpg?5225,Jumia,2026-01-28 17:12:13
"Souris verticale sans fil Triple connexion 2 modes Bluetooth + clé 2.4GHz Rechargeable DPI Réglable optique sans fil 5 boutons pour ordinateur portable PC, Mac...",135.00 Dhs,300.00 Dhs,55%,4.5 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/961466/1.jpg?9499,Jumia,2026-01-28 17:12:13
"Hp PC Portable Probook 650 Core i3 G3- 7ème Génération- 500Go HDD- 8GB RAM -Ecran 15.6""- GARANTIE 6 MOIS -remis a neuf - AZERTY","1,989.00 Dhs","2,999.00 Dhs",34%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/428176/1.jpg?5604,Jumia,2026-01-28 17:12:13
DELL Ordinateur Portable Latitude 5480 Core i5-7200U 14'' 8GB 256GB - Remis à neuf,"3,899.00 Dhs","4,500.00 Dhs",13%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/748475/1.jpg?6205,Jumia,2026-01-28 17:12:13
Lenovo PC PORTABLE Thinkpad-T470 Core i5 RAM 16GB 512 SSD-6ème Génération-Remis a Neuf,"3,589.00 Dhs","4,999.00 Dhs",28%,2 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/966026/1.jpg?7612,Jumia,2026-01-28 17:12:13
Laptop stand NOIR Support ordinateur portable en alliage d'aluminium réglable,53.00 Dhs,149.00 Dhs,64%,4.5 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/311585/1.jpg?0015,Jumia,2026-01-28 17:12:13
Hp PC Portable ELITEBOOK 840 G8 - INTEL CORE I7-11ème GÉNÉRATION - 32GB - 512GB SSD - FHD - À NEUF,"6,289.00 Dhs","7,999.00 Dhs",21%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/276276/1.jpg?0162,Jumia,2026-01-28 17:12:13
"Lenovo Pc Portable IdeaPad Slim 3 15,6'' AMD Ryzen 5-7520U 16Go 512Go","6,500.00 Dhs","6,900.00 Dhs",6%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/093576/1.jpg?7735,Jumia,2026-01-28 17:12:13
Pc Portable EliteBook 830 G6 I7-8665U 8éme Génération RAM 16Go DDR4 256Gb SSD QWERTY - REMIS A NEUF,"3,490.00 Dhs","4,490.00 Dhs",22%,5 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/656066/1.jpg?3710,Jumia,2026-01-28 17:12:13
"Hp ProBook 640 - Intel Core i5 - 8Go RAM - 500Go HDD - 14"" - (Remis à Neuf)","1,989.00 Dhs","4,199.00 Dhs",53%,3 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/873046/1.jpg?7903,Jumia,2026-01-28 17:12:13
"Hp Ordinateur Probook 640 G1 14"" Core i5-4Th 8GB 500Go HDD [REMIS A NEUF]","3,900.00 Dhs",,,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/408794/1.jpg?4666,Jumia,2026-01-28 17:12:13
Hp PC Portable ELITEBOOK X360 G7-1040 -10810U -INTEL CORE I5-10éme -8GB- 256GB SSD- FHD Rotation Tactile- À NEUF/,"3,789.00 Dhs","8,599.00 Dhs",56%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/703956/1.jpg?6985,Jumia,2026-01-28 17:12:13
"Hp PC Portable Probook 640 Core i5 8eme 500Gb 4GB RAM 14""- remis a neuf","1,989.00 Dhs","2,499.00 Dhs",20%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/004806/1.jpg?9008,Jumia,2026-01-28 17:12:14
Pc Portable HP EliteBook 840 G8 I5-1145g7 11éme Génération RAM 16Go DDR4 256Gb SSD QWERTY - REMIS A NEUF,"3,590.00 Dhs","3,990.00 Dhs",10%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/636566/1.jpg?9815,Jumia,2026-01-28 17:12:14
DELL PC Portable ELITEBOOK 840 G7 -10810U -INTEL CORE I5-10éme -16GB- 256GB SSD- FHD - À NEUF/,"3,789.00 Dhs","5,699.00 Dhs",34%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/663566/1.jpg?7883,Jumia,2026-01-28 17:12:14
"Souris optique filaire USB 3D Antidérapante YR-3018 compatible avec PC, Mac, ordinateur bureau et portable",38.00 Dhs,149.00 Dhs,74%,3.9 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/149366/1.jpg?9489,Jumia,2026-01-28 17:12:14
